"";"P22_node_13005";"P22_node_10630";"P22_node_13006";"P22_node_5354";"P22_node_6964";"P22_node_8785";"P22_node_6967";"P22_node_13028";"P22_node_5802";"P22_node_5859";"P22_node_9079";"P22_node_9126";"P22_node_8848";"P22_node_9176";"P22_node_12714";"P22_node_5853";"P22_node_13004";"P22_node_7020";"P22_node_6609";"P22_node_5912";"P22_node_5198"
"P22_node_3291";1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0
"P22_node_3303";0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1
"P22_node_1680";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_2698";0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0
"P22_node_1702";0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_1301";0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
"P22_node_3304";0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"P22_node_3141";0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_1386";0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0
"P22_node_3305";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"P22_node_1085";0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0
"P22_node_1298";0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0
"P22_node_620";0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0
"P22_node_3290";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"P22_node_47";0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0
"P22_node_3306";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0
"P22_node_3307";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"P22_node_3286";1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0
"P22_node_1379";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"P22_node_1353";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
