"";"mangal_node_3449";"mangal_node_3306";"mangal_node_3399";"mangal_node_0090";"mangal_node_3318";"mangal_node_3450";"mangal_node_3395";"mangal_node_3311";"mangal_node_3474";"mangal_node_3472";"mangal_node_3578";"mangal_node_3313";"mangal_node_3466";"mangal_node_3316";"mangal_node_3468";"mangal_node_3579";"mangal_node_3317";"mangal_node_3310";"mangal_node_3308";"mangal_node_3471";"mangal_node_3467";"mangal_node_3476";"mangal_node_3451"
"mangal_node_3408";1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;0;0;1
"mangal_node_3407";1;1;0;0;1;0;1;1;0;1;0;0;0;0;1;0;0;0;1;1;0;1;0
"mangal_node_3389";0;0;1;0;0;1;0;1;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0
"mangal_node_3405";1;1;0;1;1;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0
"mangal_node_3327";0;1;0;0;1;1;0;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1
"mangal_node_3470";0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;1;0;1
"mangal_node_3298";0;0;0;1;0;0;1;1;0;1;0;0;0;1;1;1;1;0;0;1;1;0;0
"mangal_node_3469";0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0
"mangal_node_3294";0;1;1;0;0;0;0;1;1;1;0;1;0;0;1;0;0;0;0;0;0;1;0
"mangal_node_3295";1;0;0;0;0;0;1;1;0;1;0;1;0;0;1;0;1;0;0;0;1;0;1
"mangal_node_3473";0;0;0;1;0;0;1;0;0;0;1;1;0;1;0;0;0;0;0;0;1;1;0
"mangal_node_3406";0;0;1;0;1;0;0;0;1;0;1;1;1;0;1;0;0;0;0;0;0;0;0
"mangal_node_3465";0;0;0;0;0;1;0;1;0;0;0;1;1;0;1;0;1;0;1;0;1;1;1
"mangal_node_3445";0;0;1;0;1;1;1;0;0;0;0;1;0;1;1;1;0;0;0;0;1;0;0
"mangal_node_3410";0;0;0;0;0;1;1;1;1;1;0;1;0;0;1;0;1;0;0;0;1;0;1
"mangal_node_3448";0;1;0;0;0;0;0;0;0;0;0;1;1;1;1;1;0;0;1;0;0;0;0
"mangal_node_3577";1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;1;1;0;0;0;1;1;1
"mangal_node_3417";1;0;1;0;0;0;1;0;0;0;1;0;0;1;0;1;1;1;0;0;1;0;0
"mangal_node_3392";0;0;0;0;0;0;1;1;0;1;0;1;1;0;1;0;0;1;1;0;0;0;1
"mangal_node_3447";1;1;0;1;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1;1;0
"mangal_node_3303";0;1;0;0;1;0;0;0;1;1;0;0;1;1;0;0;1;0;1;1;1;0;0
"mangal_node_3302";0;1;0;0;1;1;0;1;0;0;1;0;1;1;0;1;0;0;0;0;0;1;0
