"";"gateway_node_583";"gateway_node_1972";"gateway_node_5232";"gateway_node_244";"gateway_node_4873";"gateway_node_2080";"gateway_node_3574";"gateway_node_4779";"gateway_node_2782";"gateway_node_3645";"gateway_node_3916";"gateway_node_281";"gateway_node_4001";"gateway_node_3673";"gateway_node_2718";"gateway_node_777";"gateway_node_1672";"gateway_node_2122";"gateway_node_30";"gateway_node_2423";"gateway_node_4694";"gateway_node_3890";"gateway_node_832";"gateway_node_1042";"gateway_node_1047";"gateway_node_4400";"gateway_node_1436";"gateway_node_3630";"gateway_node_2566";"gateway_node_1156";"gateway_node_2656"
"gateway_node_583";1;0;1;0;1;0;1;1;1;0;0;0;0;1;0;0;1;0;1;0;1;0;1;1;0;0;0;0;0;1;1
"gateway_node_1972";1;1;1;1;0;1;1;1;0;0;0;1;0;1;1;0;1;0;1;0;0;0;0;0;1;1;1;1;0;0;0
"gateway_node_5232";0;0;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0
"gateway_node_244";0;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;1;0
"gateway_node_4873";1;0;1;0;1;0;0;0;0;0;1;0;1;0;0;1;1;1;0;1;1;1;0;1;0;0;0;0;1;0;0
"gateway_node_2080";0;0;1;0;0;1;0;0;1;0;0;0;0;1;0;1;1;1;1;0;0;1;1;0;0;0;1;0;1;0;1
"gateway_node_3574";0;0;0;0;0;1;1;0;1;1;1;0;0;1;0;0;0;1;1;1;0;0;0;1;1;0;0;0;0;0;0
"gateway_node_4779";0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;1;0;0;1;0;0;1;0;0;1;1;1;0;1;1;0
"gateway_node_2782";1;0;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;1
"gateway_node_3645";0;0;0;0;1;1;0;0;0;1;0;0;0;1;1;0;0;1;1;0;0;0;0;1;0;0;0;1;1;0;0
"gateway_node_3916";0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;1;1;1;0;0;0;0
"gateway_node_281";0;0;0;0;1;0;1;0;0;1;1;1;0;0;1;0;1;0;1;1;1;0;1;0;1;0;1;1;1;0;1
"gateway_node_4001";0;1;1;0;0;0;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;1
"gateway_node_3673";1;0;0;0;1;0;0;0;1;0;0;1;0;1;0;0;1;1;0;0;0;1;0;0;0;1;0;1;0;1;0
"gateway_node_2718";0;1;0;0;1;0;0;1;1;0;0;0;0;0;1;0;0;1;0;1;1;1;0;1;0;0;0;0;0;1;1
"gateway_node_777";0;0;1;1;1;0;0;1;0;0;1;1;0;0;1;1;0;1;1;0;1;1;0;0;1;0;0;0;0;0;0
"gateway_node_1672";0;1;0;0;1;1;0;0;1;0;0;1;1;0;1;1;1;1;1;0;0;0;1;0;0;0;0;0;1;1;0
"gateway_node_2122";0;0;0;1;0;0;0;0;1;0;1;0;1;0;1;1;1;1;0;0;0;1;0;1;1;0;1;0;1;0;0
"gateway_node_30";0;0;0;1;1;1;0;0;1;0;0;0;1;1;0;0;0;1;1;0;1;0;1;0;0;1;1;0;0;0;0
"gateway_node_2423";0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;1;1;1;1;0;0;1;0;0;0;0;1
"gateway_node_4694";1;0;1;0;1;0;0;0;0;0;0;1;1;0;0;1;0;1;0;0;1;0;1;0;0;0;1;0;0;0;0
"gateway_node_3890";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;1;1;0;0;0;0;1
"gateway_node_832";0;0;0;1;1;0;0;0;0;0;0;1;1;1;0;1;1;1;1;0;0;0;1;0;1;0;0;1;1;0;1
"gateway_node_1042";0;1;1;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;1;0;0;1;1;1;0;1;1;1;0;1
"gateway_node_1047";0;1;1;0;0;1;1;1;1;1;1;0;0;0;0;1;0;1;1;0;0;1;0;1;1;0;0;0;1;0;0
"gateway_node_4400";0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;1;1;0;1;1;0;0
"gateway_node_1436";0;1;0;0;0;0;1;0;1;0;0;1;0;0;1;1;1;0;1;0;0;0;0;0;0;0;1;1;0;0;0
"gateway_node_3630";0;0;0;0;1;1;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0
"gateway_node_2566";0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;1;1;0;0;0;0;0;1;1;0
"gateway_node_1156";0;1;0;0;0;1;0;0;1;0;1;1;1;0;1;0;0;0;0;0;0;0;1;1;0;0;1;0;0;1;0
"gateway_node_2656";0;1;1;0;0;1;0;0;1;1;0;0;0;1;0;1;0;0;0;1;1;0;0;1;0;0;0;1;0;0;1
