"";"P22_node_8946";"P22_node_9176";"P22_node_5914";"P22_node_9302";"P22_node_6109";"P22_node_5230";"P22_node_5354";"P22_node_6964";"P22_node_6966";"P22_node_8956";"P22_node_6967";"P22_node_13026";"P22_node_9126";"P22_node_12646";"P22_node_13002";"P22_node_9134";"P22_node_5842";"P22_node_13003";"P22_node_9186";"P22_node_13004";"P22_node_8883";"P22_node_13027";"P22_node_5912";"P22_node_8908";"P22_node_9585"
"P22_node_667";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0
"P22_node_3302";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_1378";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_3292";0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"P22_node_1354";0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0
"P22_node_1355";0;0;0;0;1;0;1;1;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0
"P22_node_3281";0;1;0;1;0;0;1;1;0;0;0;0;1;0;1;0;1;0;1;0;1;1;0;1;1
"P22_node_1696";0;1;0;0;0;1;0;1;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0
"P22_node_608";0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_3283";0;0;0;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0
"P22_node_614";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_1843";0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0
"P22_node_1366";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"P22_node_3289";0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"P22_node_1321";0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"P22_node_3279";0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"P22_node_3299";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_1349";0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_1382";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"P22_node_1109";0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"P22_node_622";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"P22_node_1680";0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
