"";"WOL_node_2417";"WOL_node_4310";"WOL_node_1191";"WOL_node_2051";"WOL_node_10204";"WOL_node_12332";"WOL_node_1293";"WOL_node_9512";"WOL_node_9088";"WOL_node_9187";"WOL_node_5428"
"WOL_node_11815";1;1;1;1;1;0;1;0;0;0;0
"WOL_node_11804";0;0;0;1;1;0;0;0;0;0;0
"WOL_node_3208";0;0;0;1;0;0;0;0;0;0;0
"WOL_node_11811";0;0;0;1;0;1;0;0;0;0;0
"WOL_node_1709";1;0;0;0;0;0;1;0;0;0;0
"WOL_node_1758";0;0;0;0;0;1;0;1;0;0;0
"WOL_node_11808";0;0;0;0;0;0;0;0;0;1;0
"WOL_node_558";0;0;0;0;1;0;0;0;0;0;0
"WOL_node_1646";0;0;0;0;1;0;0;0;0;0;0
"WOL_node_3211";0;1;0;0;0;0;0;0;0;0;0
"WOL_node_10799";0;0;0;0;0;1;0;0;0;0;0
"WOL_node_10311";0;0;0;0;1;0;0;0;0;0;0
"WOL_node_11796";0;1;0;0;0;0;0;0;0;0;0
"WOL_node_11798";0;1;1;1;1;1;0;0;0;1;1
"WOL_node_11807";0;0;0;0;0;0;1;0;0;0;0
"WOL_node_11814";0;1;0;0;1;0;0;0;0;0;0
"WOL_node_4973";0;0;1;0;1;0;0;0;1;0;0
"WOL_node_10047";0;1;0;0;1;1;0;0;0;0;0
