"";"gateway_node_7";"gateway_node_2755";"gateway_node_2740";"gateway_node_216";"gateway_node_4338";"gateway_node_2879";"gateway_node_4637";"gateway_node_2838";"gateway_node_1754";"gateway_node_3365";"gateway_node_2150";"gateway_node_3580";"gateway_node_3596";"gateway_node_4249";"gateway_node_5185";"gateway_node_1466";"gateway_node_2700";"gateway_node_3064";"gateway_node_3277";"gateway_node_4792";"gateway_node_746";"gateway_node_1753";"gateway_node_4379";"gateway_node_3457";"gateway_node_1587";"gateway_node_787";"gateway_node_2459";"gateway_node_3727";"gateway_node_1346";"gateway_node_4083";"gateway_node_1366";"gateway_node_3192";"gateway_node_4131";"gateway_node_530";"gateway_node_1861";"gateway_node_1028";"gateway_node_232";"gateway_node_2483";"gateway_node_4769";"gateway_node_2388";"gateway_node_2885";"gateway_node_3767";"gateway_node_4939";"gateway_node_5101";"gateway_node_5102";"gateway_node_5139";"gateway_node_5143";"gateway_node_3553";"gateway_node_3070";"gateway_node_3514";"gateway_node_2389";"gateway_node_2549";"gateway_node_3771";"gateway_node_5160";"gateway_node_4713";"gateway_node_3255";"gateway_node_3703";"gateway_node_4940";"gateway_node_2701";"gateway_node_1324";"gateway_node_4388";"gateway_node_528";"gateway_node_4332";"gateway_node_1870";"gateway_node_2596";"gateway_node_51";"gateway_node_2594";"gateway_node_2597";"gateway_node_2598";"gateway_node_177";"gateway_node_933";"gateway_node_936";"gateway_node_4649";"gateway_node_1947";"gateway_node_646";"gateway_node_4454";"gateway_node_3166";"gateway_node_4347";"gateway_node_4511";"gateway_node_157";"gateway_node_486";"gateway_node_1320";"gateway_node_1565";"gateway_node_181";"gateway_node_1339";"gateway_node_2567";"gateway_node_3928";"gateway_node_4346";"gateway_node_4348"
"gateway_node_7";0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
"gateway_node_2755";0;1;1;1;1;0;0;1;1;0;0;1;1;0;0;1;1;1;1;1;1;1;0;1;0;1;0;1;1;1;0;1;0;0;0;0;1;1;1;1;1;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;1;0;0;1;0;1;1;1;0;1;1;1;1;1;0;0;1;0;0;0
"gateway_node_2740";0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;1;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;1;0;0;1;0;0;0;1;0;0;1;0;1;1;0;0;1;1;1;1;1;0;0;0;0;0;0
"gateway_node_216";1;1;1;1;1;1;1;1;1;1;1;0;0;1;1;1;1;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;0;1;1;1;1;1;1;0;0;0;0;0;0
"gateway_node_4338";1;1;1;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;1;1;1;0;0;0;0;0;0;0
"gateway_node_2879";1;1;1;1;1;0;0;1;1;1;0;1;1;0;0;0;1;1;1;1;0;1;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;1;1;0;0;0;0;1;0;1
"gateway_node_4637";0;1;1;1;1;1;1;1;1;0;0;1;1;1;1;0;1;0;0;1;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;1;0;1;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;1;1;1;0;0;0;0;0;1;1
"gateway_node_2838";1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;1;1;1;1;1;0;0;0;0;0;0
"gateway_node_1754";0;1;1;1;1;1;1;1;0;1;1;0;1;1;1;1;0;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;1;1;1;0;0;1;0;0;0;0
"gateway_node_3365";0;1;0;1;1;1;1;1;0;0;1;1;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;1;1;0;0;0;1;1;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;1;0;0;0
"gateway_node_2150";0;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;0;1;0;0;1;0;0;1;0;0;1;0;0;0;0;1;1;1;1;1;0;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0
"gateway_node_3580";0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;1;0;1;1;0;0;0;0;0;0;0
"gateway_node_3596";0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;1;1;1;0;0;0;0;1;1;1;1;0;1;1;1;1;0;0;0;0;0;1;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0
"gateway_node_4249";0;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;1;1;0;0;0;1;0;0;0;0;1;1;1;1;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;1;0;1;1;0;0;0;1;0;0;0
"gateway_node_5185";0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;1;0;0;0;1;0;0;0;0;1;1;1;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;1;0;1;1;0;1;1;0;0;0;0;0;0;0
"gateway_node_1466";0;1;1;1;0;1;1;0;1;1;1;1;0;1;0;0;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;1;0;1;1;0;1;0;0;1;1;1
"gateway_node_2700";0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;1;0;0;1;1;0;0;0;1;1;1;1;0;1;1;1;1;0;0;0;0;1;1;0;1;1;1;1;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0
"gateway_node_3064";0;1;1;1;0;1;0;1;0;1;1;1;1;0;1;1;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;1;0;0;0;0;1;1;1;1;0;0;1;1;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;1;0;1;1;0;0;0;1;0;0;0
"gateway_node_3277";0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;1;0;0;0;0;1;1;1;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0
"gateway_node_4792";0;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;1;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1;1;0;1;0;1;0;0;1;1;1;0;0;1;1;1;1;0;0;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_746";0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;1;1;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;1;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;1;0;1;1;0;1;1;0;1;0;1
"gateway_node_1753";0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0
"gateway_node_4379";0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;1;0;0;0;0;1;0;1;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0
"gateway_node_3457";0;1;1;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;1;1;1;0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;0;0;0;0;1;1;0;1;1;1
"gateway_node_1587";0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;1;0;1;1;0;0;0;0;0;1;1;0;0;0;1;0;0;1;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0
"gateway_node_787";0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_2459";0;0;1;1;0;0;1;1;1;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"gateway_node_3727";0;0;0;0;0;1;0;0;0;1;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;1;0;1;1;1;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_1346";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0
"gateway_node_4083";0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_1366";0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0
"gateway_node_3192";0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_4131";0;0;0;0;1;0;1;0;1;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_530";0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"gateway_node_1861";1;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_1028";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_232";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_2483";0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_4769";0;1;1;1;0;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;0;1;0;0;1;1;0;1;1;0;1;1;0;0;0;0;1;1;1;0;0;1;1;1;1;1;0;0;1;1;1;1;0;0;1;1;1;0;1;0;0;1;1;0;1;1;1;0;0;0;0;1;0;0;1;1;0;0;0;1;0;0;1;0;0;0;0
"gateway_node_2388";0;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;1;0;0;1;0;0;1;1;0;0;0;0;1;1;1;1;1;0;1;1;1;0;0;0;1;0;1;1;0;1;1;1;1;0;0;0;0;0;1;0;1;0;1;0;0;0;0;1;0;1;0;1;0;0;1;1;0;0;0;0;0;0;0
