"";"gateway_node_5232";"gateway_node_3817";"gateway_node_643";"gateway_node_1717";"gateway_node_1972";"gateway_node_4361";"gateway_node_4619";"gateway_node_4001";"gateway_node_3643";"gateway_node_1858";"gateway_node_2917";"gateway_node_4694";"gateway_node_1730";"gateway_node_4779";"gateway_node_2449";"gateway_node_3435";"gateway_node_724";"gateway_node_4036";"gateway_node_4808";"gateway_node_2770";"gateway_node_574";"gateway_node_3890";"gateway_node_670";"gateway_node_827";"gateway_node_829";"gateway_node_831";"gateway_node_5063";"gateway_node_1433";"gateway_node_839";"gateway_node_1156"
"gateway_node_5232";1;1;1;1;1;1;0;1;1;1;1;0;1;0;1;1;1;1;1;1;0;1;0;0;0;1;0;0;0;0
"gateway_node_3817";0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
"gateway_node_643";1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0
"gateway_node_1717";1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_1972";1;0;0;0;1;0;0;1;1;0;0;0;0;1;1;1;0;0;0;0;0;1;1;1;1;1;1;1;1;1
"gateway_node_4361";0;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
"gateway_node_4619";1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0
"gateway_node_4001";1;0;1;0;1;1;1;1;1;0;1;1;1;1;1;1;0;0;0;0;0;1;1;1;1;1;1;1;0;1
"gateway_node_3643";1;0;0;0;1;0;1;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;1;0;0;0;1
"gateway_node_1858";1;0;0;0;1;0;1;1;0;0;1;1;1;1;1;0;1;0;0;0;0;0;0;0;1;0;0;0;1;0
"gateway_node_2917";1;0;0;0;1;0;1;0;0;1;0;0;1;0;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_4694";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0
"gateway_node_1730";1;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;1;1;1;1;1;1
"gateway_node_4779";1;0;0;0;1;0;1;0;1;1;0;0;0;1;0;1;1;0;0;0;1;0;0;1;1;0;1;0;1;1
"gateway_node_2449";0;0;0;0;1;0;0;1;0;1;0;0;1;1;1;0;0;0;1;0;1;0;1;0;1;1;0;1;1;1
"gateway_node_3435";1;0;0;0;1;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0
"gateway_node_724";1;0;1;0;0;0;0;1;1;0;1;0;0;0;1;0;0;0;0;0;1;0;1;1;1;0;1;1;1;1
"gateway_node_4036";0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0
"gateway_node_4808";0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;1;0;0;1;0;1;0;1;1;1;0
"gateway_node_2770";1;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0
"gateway_node_574";1;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;1;0;0;0;1;0;1;1;1;0;1;1;0;1
"gateway_node_3890";0;1;0;1;1;0;0;1;0;0;0;0;0;0;0;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0
"gateway_node_670";1;0;0;0;1;1;0;1;0;1;0;0;0;1;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0
"gateway_node_827";1;0;1;0;1;0;0;1;0;1;0;0;1;1;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0
"gateway_node_829";1;0;0;0;0;0;0;1;0;1;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;1;1;0;1
"gateway_node_831";0;0;0;0;1;0;0;1;0;1;0;0;1;1;1;0;1;0;1;1;1;0;0;0;0;0;0;0;0;0
"gateway_node_5063";0;0;0;0;1;0;0;1;0;0;0;0;1;1;1;0;1;0;1;0;0;0;1;0;0;0;0;0;1;1
"gateway_node_1433";1;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;1;0;1;0;0;1;1;1;0
"gateway_node_839";0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;1;1;0;0;1;1;0;1;0;1;0;0;0;0;0
"gateway_node_1156";0;0;1;0;1;0;1;1;1;0;1;0;1;0;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0
